编号	分类	状态	文件名
01	07_Self-Supervised	已下载	[01] Self-supervised monocular depth and ego-motion estimation in endoscopy Appearance flow to the rescue
03	02_Applications	已下载	[03] SemanticDepth Fusing semantic segmentation and monocular depth estimation for enabling autonomous driving in roads without lane lines
04	01_Surveys_and_Reviews	已下载	[04] Monocular depth estimation A survey (Bhoi)
06	09_Datasets	已下载	[06] Vision meets robotics The KITTI dataset
08	01_Surveys_and_Reviews	已下载	[08] Deep learning for monocular depth estimation A review
14	03_Traditional_DepthCues	已下载	[14] Shape-from-shading a survey
15	04_Traditional_MachineLearning	已下载	[15] Representing shape with a spatial pyramid kernel
16	04_Traditional_MachineLearning	已下载	[16] Object recognition from local scale-invariant features
17	04_Traditional_MachineLearning	已下载	[17] Surf Speeded up robust features
20	06_Supervised	已下载	[20] Depth map prediction from a single image using a multi-scale deep network
21	06_Supervised	已下载	[21] Deep ordinal regression network for monocular depth estimation
22	06_Supervised	已下载	[22] From big to small Multi-scale local planar guidance for monocular depth estimation
23	06_Supervised	已下载	[23] Adabins Depth estimation using adaptive bins
24	06_Supervised	已下载	[24] Neural window fully-connected crfs for monocular depth estimation
25	07_Self-Supervised	已下载	[25] Smudlp Self-teaching multi-frame unsupervised endoscopic depth estimation with learnable patchmatch
26	06_Supervised	已下载	[26] A geometry-aware deep network for depth estimation in monocular endoscopy
27	05_DeepLearning_Foundations	已下载	[27] Deep residual learning for image recognition
28	01_Surveys_and_Reviews	已下载	[28] Monocular depth estimation based on deep learning An overview
29	01_Surveys_and_Reviews	已下载	[29] Outdoor monocular depth estimation A research review
31	03_Traditional_DepthCues	已下载	[31] Recovering occlusion boundaries from a single image
36	03_Traditional_DepthCues	已下载	[36] Structure-from-motion revisited
37	04_Traditional_MachineLearning	已下载	[37] Learning depth from single monocular images
40	04_Traditional_MachineLearning	已下载	[40] Discrete-continuous depth estimation from a single image
41	04_Traditional_MachineLearning	已下载	[41] Depth extraction from video using non-parametric sampling
42	05_DeepLearning_Foundations	已下载	[42] Deep learning methods and applications
43	05_DeepLearning_Foundations	已下载	[43] Cam-convs Camera-aware multi-scale convolutions for single-view depth
44	05_DeepLearning_Foundations	已下载	[44] Recurrent neural network for (un-)supervised learning of monocular video visual odometry and depth
45	05_DeepLearning_Foundations	已下载	[45] Gen-slam Generative modeling for monocular simultaneous localization and mapping
47	06_Supervised	已下载	[47] Predicting depth surface normals and semantic labels with a common multi-scale convolutional architecture
48	06_Supervised	已下载	[48] Deeper depth prediction with fully convolutional residual networks
49	06_Supervised	已下载	[49] Deep convolutional neural fields for depth estimation from a single image
50	07_Self-Supervised	已下载	[50] Geonet Unsupervised learning of dense depth optical flow and camera pose
51	06_Supervised	已下载	[51] Towards comprehensive monocular depth estimation Multiple heads are better than one
52	06_Supervised	已下载	[52] Urcdc-depth Uncertainty rectified cross-distillation with cutflip for monocular depth estimation
53	06_Supervised	已下载	[53] Designing deep networks for surface normal estimation
54	06_Supervised	已下载	[54] Fully connected deep structured networks
55	06_Supervised	已下载	[55] Global-local path networks for monocular depth estimation with vertical cutdepth
56	06_Supervised	已下载	[56] Binsformer Revisiting adaptive bins for monocular depth estimation
57	07_Self-Supervised	已下载	[57] Digging into self-supervised monocular depth estimation
58	07_Self-Supervised	已下载	[58] Self-supervised monocular depth hints
59	07_Self-Supervised	已下载	[59] Self-supervised monocular trained depth estimation using self-attention and discrete disparity volume
60	07_Self-Supervised	已下载	[60] On the uncertainty of self-supervised monocular depth estimation
62	09_Datasets	已下载	[62] Stereo correspondence and reconstruction of endoscopic data challenge
63	07_Self-Supervised	已下载	[63] Self-supervised monocular depth estimation with self-reference distillation and disparity offset refinement
64	09_Datasets	已下载	[64] Are we ready for autonomous driving The kitti vision benchmark suite
65	09_Datasets	已下载	[65] Make3d Learning 3d scene structure from a single still image
66	08_Semi-Supervised	已下载	[66] Single-image depth perception in the wild
67	08_Semi-Supervised	已下载	[67] Unsupervised cnn for single view depth estimation Geometry to the rescue
68	08_Semi-Supervised	已下载	[68] Semi-supervised deep learning for monocular depth map prediction
69	08_Semi-Supervised	已下载	[69] Semi-supervised monocular depth estimation with left-right consistency using deep neural network
70	07_Self-Supervised	已下载	[70] Unsupervised monocular depth estimation with left-right consistency
71	09_Datasets	已下载	[71] Indoor segmentation and support inference from rgbd images
72	09_Datasets	已下载	[72] A large dataset to train convolutional networks for disparity optical flow and scene flow estimation
73	09_Datasets	已下载	[73] The cityscapes dataset for semantic urban scene understanding
75	10_Challenges_Prospects	已下载	[75] Single image brightening via multi-scale exposure fusion with hybrid learning
76	10_Challenges_Prospects	已下载	[76] Dual-scale single image dehazing via neural augmentation
77	10_Challenges_Prospects	已下载	[77] Model-based deep learning
78	10_Challenges_Prospects	已下载	[78] Novel intensity mapping functions Weighted histogram averaging
79	10_Challenges_Prospects	已下载	[79] Multi-scale single image dehazing using laplacian and gaussian pyramids
